"h_regionid","w_regionid","num_commuting_lw","num_commuting_hw"
"137228","137228",0.0037368439721946,0.211038326765292
"137228","137603",0.0611297306733361,0.365925805107596
"137228","137634",0.342398311930881,1.12507432503018
"137228","137799",0,0.0837389488310872
"137228","138129",0.215945816995596,0
"137228","138166",0.0667511289251202,0.133183274273116
"137228","138261",0.56253716251509,2.05593061012721
"137228","138732",0.0345182992098351,0.143844338722478
"137228","139408",0.297825270802546,0.788633780505868
"137228","140000",0.0199351201125235,0.172078955994573
"137228","140024",0.000816815213454039,0.661233366966081
"137228","140437",0.625355459030931,0.910660672764483
"137228","140440",0,0.0735895759807345
"137228","140913",0.440277701168418,0.684796623861762
"137228","269566",0,0.320911117627127
"137228","269568",0.354526298350696,1.79103210542325
"137228","269570",0,0.418256334603271
"137228","269571",1.24942894646678,0.372310788444788
"137228","269572",0,0.187976840807232
"137228","269573",0.0611297306733361,0.00124080869183318
"137228","269576",0,0.287133556440826
"137228","269577",0,0.361015451247447
"137228","269579",0,0.246656732040243
"137228","269581",0,0.129933088589431
"137228","269582",0,0.496706149380555
"137228","269584",0,1.92301522378349
"137228","269585",0.0601570620490654,0
"137228","269586",0.0611297306733361,3.32598142731519
"137228","269587",0.0603383616014494,0.237861542791344
"137228","269588",0.225065908453017,0.440277701168418
"137228","269589",0.12848689535028,1.04192889625132
"137228","269590",0,0.116232774505886
"137228","269592",0.000972668624622257,0.207376366373776
"137228","269593",8.98035743971905,24.0273292704902
"137228","269595",0.0611297306733361,0.660416551752627
"137228","269596",0,0.122544593271145
"137228","269597",0.586738478343404,3.265639930664
"137228","269599",0.235325951708605,1.49974035158969
"137228","269600",0.0899121881478558,0.0249674595426592
"137228","269603",0,0.122259461346672
"137228","269605",0.220138850584209,0.0611297306733361
"137228","269607",2.17186754905318,5.75694746521665
"137228","269608",0.239433455472446,1.07629872074815
"137228","269609",0,0.386130251245523
"137228","269610",0.0154711231579733,0.0886325475530372
"137228","269611",0.00990472870311835,0.124741103887294
"137228","269612",0,2.20365468157391
"137228","269613",0,0.37530882274933
"137228","269614",0.794331032614469,0.937665994127527
"137228","269615",1.06920557621711,2.2429223045721
"137228","272951",0.319114566267498,1.36141051195382
"137228","273035",0.734799628248948,0.763773999824834
"137228","273040",0.659090316546581,0.937650119474641
"137228","273111",0.493107754224729,0.364492759383827
"137228","273222",0.691940049122958,0.654278154127621
"137228","273964",0,0.225030514969403
"137228","274850",0,0.102571793642003
"137228","275083",0.215211792716396,0
"137228","275192",0,0.0609121925790263
"137228","275251",0.827410561551458,3.56431732851586
"137228","275927",0,0.0988188410779568
"137228","276138",0,0.616311641542344
"137228","276349",0.220138850584209,0.363924617305851
"137228","276477",0,0.000764132855376878
"137228","28173",0.220138850584209,0.0648448463978321
"137228","33420",0.239109645582081,0.266081181931172
"137228","33597",0,0.305327734234965
"137228","403117",0.448792534276007,0.940376234976682
"137228","403120",0,0.128586769004881
"137228","403128",0.395664955043821,1.25161282508813
"137228","403141",0.238790173568328,1.31756236088206
"137228","403144",0.150501935096871,0.234685001036215
"137228","403145",1.1178378058902,4.21061015478833
"137228","403146",1.00281486368351,2.56453274939191
"137228","403148",0,1.35467134509607
"137228","403151",0.0322942285689326,0.0498752519439142
"137228","403169",0,0.403528042604217
"137228","403256",0,0.000620479816285961
"137228","403257",0,0.16795278547517
"137228","403262",0,0.0354350973572886
"137228","403264",0,0.0151694166529594
"137228","403267",0,0.160670797758184
"137228","403276",0,0.246078449696969
"137228","403286",0,0.0162142986908548
"137228","403287",0,0.136026754901683
"137228","403288",0,0.0487423359240755
"137228","403292",0,0.247016357140803
"137228","403293",0.220138850584209,0.220138850584209
"137228","403294",0,0.153076810585219
"137228","403295",0,0.226785377757319
"137228","403297",0,0.147041347996686
"137228","403298",0.782676013099299,1.58536210995579
"137228","403299",0.855576465592099,2.89626621463353
"137228","403300",1.13093236068607,4.29297307002131
"137228","403301",0,0.0799898812347216
"137228","403302",0.0338655343586122,0.254197107412999
"137228","403303",0,0.187462449634535
"137228","403304",0,0.134057295969965
"137228","403306",0,0.0611297306733361
"137228","403310",0,0.0758577161674658
"137228","403313",0,0.224855405454496
"137228","403314",0,0.132947332301564
"137228","403315",0,0.274624901220094
"137228","403316",0,0.0841161386075763
"137228","403317",0,0.000817274203086835
"137228","403318",0,0.2152176311265
"137228","403320",0.00954923420005168,0.596683129187133
