"num_employment","num_employment_lw","num_employment_hw","wages","num_residents","num_residents_hw","num_residents_lw","income","regionid","home_price"
2836.98488435122,665.328168726856,2171.65671562436,32362.7727012154,4449.75285170516,4144.0571009897,305.695750715452,47583.358923334,7930,536127.94
1628.49886249716,446.691484491205,1181.80737800595,30534.2067899022,6558.30983955778,5553.37306450598,1004.93677505181,42343.5532800526,28173,294973
2969.26983988506,587.719200774534,2381.55063911053,35730.2380590036,3319.29331261292,2820.70560005387,498.587712559051,45163.6668466181,33420,321805.59
5113.44938061699,966.919809125189,4146.5295714918,38533.1112810549,10483.5716653297,9414.61212164487,1068.9595436848,46327.5955477178,33597,443546.59
650.335027677893,129.347934136953,520.98709354094,35736.8894458397,1209.99826379187,1097.8941193259,112.104144465971,47108.0604270661,51847,467447.16
23.6908122093517,2.14952843398686,21.5412837753648,49028.6442059163,159.815244626127,122.105334651382,37.7099099747447,42693.5962324939,137228,71447.75
6113.54832057316,1152.67674037817,4960.87158019499,38353.2446230195,8309.15001733205,7775.03160158045,534.118415751603,47717.2081463188,137603,563496.31
1097.68695879321,164.215834742081,933.471124051133,33901.5816947908,2032.12372937519,1650.77252225709,381.351207118097,45092.288784174,137634,138172.75
913.478863743747,368.887951603585,544.590912140162,24439.0508777508,637.584980972667,434.765350862883,202.819630109784,42641.7222164039,137799,312626.84
613.160555580737,119.644479306144,493.516076274593,38881.7665402224,3930.92246606915,3487.06416532403,443.858300745124,46192.144307348,137841,240743.67
1758.00278953457,369.281824276712,1388.72096525785,40375.6196744242,1471.72334322699,1289.05136221245,182.671981014537,44810.4288579651,138129,281468.66
629.402195920355,179.937881990977,449.464313929378,30929.3419036466,3831.27303251249,3291.83880213887,539.434230373621,43844.8046448431,138166,131683.83
1921.14611661002,367.254326936613,1553.89178967341,36455.5545044032,7263.41852472914,5485.28164595385,1778.13687877529,43329.9696995751,138261,57390.5
246.983908664726,73.2063353347401,173.777573329986,31501.1888581073,905.022484693177,756.169519111786,148.852965581391,45163.5926861852,138732,133598.25
2650.14483474672,559.375200019049,2090.76963472767,35140.4701612387,3124.57587913259,2602.19968973162,522.376189400978,44085.355094784,139408,268392.5
348.627010407101,32.4494336767085,316.177576730392,46612.7018606069,548.572461854875,484.408915220411,64.1635466344633,47912.7574195391,140000,247565.1875
217.304519223254,52.1292748572308,165.175244366023,35030.9411825781,446.537343675662,368.198872573279,78.3384711023827,44963.3985157443,140024,160840.33
1093.2527420066,170.889587653466,922.36315435313,39986.132776414,2048.55476250151,1814.40368895971,234.151073541801,45826.636883163,140292,450656
1482.57643674547,456.883033315688,1025.69340342978,29805.8188811748,4652.5840053529,3741.45712282334,911.126882529557,44058.2192221347,140437,138505
180.471255660071,34.7634089600084,145.707846700062,38228.4859112183,851.485239181616,698.54064807161,152.944591110006,44527.4127357618,140440,101372.16
358.154341864502,56.0324522661242,302.121889598378,37484.3676898456,4784.52373032259,3882.99074563539,901.532984687198,44788.9555584706,140913,105839.09
2650.88478270135,547.256927553515,2103.62785514783,32838.0318565958,11331.3397130505,9710.18792898821,1621.15178406234,44176.9986059644,269566,329087.59
806.345549157147,170.378740715461,635.966808441686,34927.893502921,1765.27850197225,1590.46961832309,174.808883649163,45808.2599455695,269567,505535.34
9821.20422614098,1324.65805627422,8496.54616986676,41218.4686037098,10692.3781433295,8527.95461344636,2164.42352988311,43918.9990373082,269568,211782.5
587.65891901268,99.0759672964957,488.582951716185,38564.3911180269,2844.92773556535,2469.31301516027,375.614720405086,44996.0824288399,269570,192285.67
1417.60392356745,427.352069853839,990.251853713611,28676.3620202492,9603.09290841254,7698.32209439949,1904.77081401305,44732.9264507828,269571,152420.25
71.5309949506807,22.2202825169732,49.3107124337076,28918.1634000341,632.571489542311,519.244592852207,113.326896690105,46330.889411526,269572,173763.42
3198.10312617326,547.40644163051,2650.69668454275,39376.5187788023,4856.03919856087,4314.01570111295,542.023497447926,45138.6624243117,269573,412293.16
538.444855369311,110.127282877773,428.317572491538,31817.6253787274,2712.31597811987,2211.29303635428,501.022941765588,42211.4222638981,269576,190302.08
2783.58473806342,439.17182248453,2344.41291557889,42285.997364043,3955.44945083846,3124.00578340986,831.443667428603,43922.3026808649,269577,187633.67
756.931946110546,164.756248105558,592.175698004988,33591.3781540072,3203.62237094284,2777.71545348162,425.906917461217,45444.6963310169,269578,225812.08
935.365946832283,203.253830381918,732.112116450365,33975.1160408632,2837.22732325103,2576.03040345422,261.196919796812,47588.1235276154,269579,391859
82.2188089142125,15.5528643729642,66.6659445412483,37443.0788039932,375.35607709925,336.652696984775,38.703380114475,45967.7303651417,269580,392080.09
410.659346639776,71.4195222599943,339.239824379782,39815.9716094628,397.775041976271,303.861329046321,93.9137129299493,44154.8030231143,269581,99771.586
2284.21840728112,630.222081040644,1653.99632624048,31116.6646799308,6225.64814304142,5199.78445316929,1025.86368987213,42114.681692884,269582,184238.33
2568.12082423005,650.100153721801,1918.02067050825,30018.6121113883,6995.71947160946,6285.97036947258,709.749102136883,46514.9513186454,269584,259617.67
4006.30777812306,846.203709068122,3160.10406905494,35327.8026501479,10743.787350749,9158.2535200545,1585.53383069454,44313.351853971,269585,316063.34
13780.4771576881,901.262679062191,12879.2144786259,53546.3017787248,5303.68261389977,4659.62267399779,644.059939901972,48689.8684271776,269586,254087.33
1922.77168061818,427.789411573222,1494.98226904496,34085.147734568,3612.41896168522,3201.15140761593,411.267554069295,44721.2912618743,269587,405335.66
