"h_regionid","w_regionid","num_commuting"
"137228","137228",0.214775170737487
"137228","137603",0.427055535780932
"137228","137634",1.46747263696106
"137228","137799",0.0837389488310872
"137228","138129",0.215945816995596
"137228","138166",0.199934403198236
"137228","138261",2.6184677726423
"137228","138732",0.178362637932313
"137228","139408",1.08645905130841
"137228","140000",0.192014076107097
"137228","140024",0.662050182179535
"137228","140437",1.53601613179541
"137228","140440",0.0735895759807345
"137228","140913",1.12507432503018
"137228","269566",0.320911117627127
"137228","269568",2.14555840377395
"137228","269570",0.418256334603271
"137228","269571",1.62173973491157
"137228","269572",0.187976840807232
"137228","269573",0.0623705393651692
"137228","269576",0.287133556440826
"137228","269577",0.361015451247447
"137228","269579",0.246656732040243
"137228","269581",0.129933088589431
"137228","269582",0.496706149380555
"137228","269584",1.92301522378349
"137228","269585",0.0601570620490654
"137228","269586",3.38711115798853
"137228","269587",0.298199904392793
"137228","269588",0.665343609621435
"137228","269589",1.1704157916016
"137228","269590",0.116232774505886
"137228","269592",0.208349034998398
"137228","269593",33.0076867102092
"137228","269595",0.721546282425963
"137228","269596",0.122544593271145
"137228","269597",3.85237840900741
"137228","269599",1.7350663032983
"137228","269600",0.114879647690515
"137228","269603",0.122259461346672
"137228","269605",0.281268581257545
"137228","269607",7.92881501426983
"137228","269608",1.3157321762206
"137228","269609",0.386130251245523
"137228","269610",0.104103670711011
"137228","269611",0.134645832590412
"137228","269612",2.20365468157391
"137228","269613",0.37530882274933
"137228","269614",1.731997026742
"137228","269615",3.31212788078922
"137228","272951",1.68052507822131
"137228","273035",1.49857362807378
"137228","273040",1.59674043602122
"137228","273111",0.857600513608556
"137228","273222",1.34621820325058
"137228","273964",0.225030514969403
"137228","274850",0.102571793642003
"137228","275083",0.215211792716396
"137228","275192",0.0609121925790263
"137228","275251",4.39172789006732
"137228","275927",0.0988188410779568
"137228","276138",0.616311641542344
"137228","276349",0.58406346789006
"137228","276477",0.000764132855376878
"137228","28173",0.284983696982041
"137228","33420",0.505190827513253
"137228","33597",0.305327734234965
"137228","403117",1.38916876925269
"137228","403120",0.128586769004881
"137228","403128",1.64727778013195
"137228","403141",1.55635253445039
"137228","403144",0.385186936133087
"137228","403145",5.32844796067853
"137228","403146",3.56734761307542
"137228","403148",1.35467134509607
"137228","403151",0.0821694805128468
"137228","403169",0.403528042604217
"137228","403256",0.000620479816285961
"137228","403257",0.16795278547517
"137228","403262",0.0354350973572886
"137228","403264",0.0151694166529594
"137228","403267",0.160670797758184
"137228","403276",0.246078449696969
"137228","403286",0.0162142986908548
"137228","403287",0.136026754901683
"137228","403288",0.0487423359240755
"137228","403292",0.247016357140803
"137228","403293",0.440277701168418
"137228","403294",0.153076810585219
"137228","403295",0.226785377757319
"137228","403297",0.147041347996686
"137228","403298",2.36803812305509
"137228","403299",3.75184268022563
"137228","403300",5.42390543070738
