regionid,regionname,state,city,metro,countyname,value_2016
269613,West Garfield Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,84833.086
269614,West Lawn,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,187118.17
269615,West Town,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,444305.75
272951,Beverly,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,323741.34
273035,Bridgeport,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,335236.16
273040,Brighton Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,164468.83
273111,Calumet Heights,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,152033.08
273222,Chatham,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,153419.33
273964,Hermosa,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,222645.08
274178,Kenwood,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,381995.66
274579,Montclare,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,256079.25
274850,Oakland,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,280569.75
275083,Portage Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,307361.09
275192,Riverdale,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
275251,Roseland,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,66654.914
275927,Washington Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,81552.336
276138,Woodlawn,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,119584.5
276349,Grand Crossing,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,81113.086
276477,North Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,353702.5
403109,Belmont Central,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,252834.67
403117,Little Village,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,130787.25
403120,South Austin,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,125544.75
403128,Stony Island Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,169950.5
