"","h_regionid","wages","num_residents"
"1","137228",42716.5130069153,166.3264180802
"2","137603",47628.2185349672,8479.65138036915
"3","137634",45047.3430043599,2083.98813808948
"4","137799",42660.6010344244,656.981793245477
"5","137841",46108.2576205051,4047.70838842777
"6","138129",44673.463126802,1614.00656135479
"7","138166",43836.6237880175,3888.52773224318
"8","138261",43328.2271747509,7519.21263057528
"9","138732",45131.2955562418,920.835769214923
"10","139408",44076.8346799018,3159.52581807243
"11","140000",47855.8746417226,555.376621066477
"12","140024",44893.9256262354,465.719031037722
"13","140292",45728.07615535,2129.61517867923
"14","140437",44037.7064463706,4779.2006552279
"15","140440",44506.6805018996,865.897581608723
"16","140913",44754.9385787206,4894.5420615948
"17","269566",44115.8055757591,12146.127088905
"18","269567",45745.4551561889,1808.44487578354
"19","269568",43892.1793363768,11160.6542053278
"20","269570",44962.2205764632,2902.37908410643
"21","269571",44696.5068602332,9849.81441915478
"22","269572",46240.3305586029,651.935748727263
"23","269573",45050.0878474011,5098.90544820752
"24","269576",42240.4699939468,2787.53584563727
"25","269577",43882.4102757612,4219.28517411385
"26","269578",45376.6678739596,3306.34525807102
"27","269579",47307.4696026508,3034.4517555449
"28","269580",45768.6633339696,405.382395335716
"29","269581",44129.6847464017,409.371017770523
"30","269582",42139.0113468611,6356.30856237936
"31","269584",46437.0323542973,7168.29684160294
"32","269585",44279.5876948903,11113.3207612375
"33","269586",48601.8574159219,5391.64812387454
"34","269587",44633.3206123163,3843.77463096869
"35","269588",44883.8126442395,10732.7487895883
"36","269589",47761.4706924606,22580.2940061837
"37","269590",48458.3877352195,4685.44648656455
"38","269591",46282.2782099906,1682.69055913545
"39","269592",44804.4465424158,25215.7401995426
"40","269593",49686.0310832652,7431.46229950921
"41","269595",46305.4124090584,3867.55527697076
"42","269596",48508.4408352617,4754.59904989755
"43","269597",49134.4353944851,10337.7812454504
"44","269599",47871.6408605722,5693.67249155052
"45","269600",46645.3937296461,7111.37511467417
"46","269602",46310.733205647,3090.23727524221
"47","269603",45587.8415627497,3257.68816524011
"48","269605",45134.3991640261,12963.7941887168
"49","269607",48219.2557380077,13719.879999368
"50","269608",44876.827462239,7537.46693438622
"51","269609",45456.0116109049,7029.00826376543
"52","269610",45762.2704041333,1164.74585481564
"53","269611",43630.6736274795,4042.99174655737
"54","269612",43319.0661725769,4887.49317995543
"55","269613",43503.6060059588,3239.60681890589
"56","269614",43435.4621876008,7022.33125429288
"57","269615",47084.1896631414,10322.7506148548
"58","272951",47349.6211332404,4166.87952397181
"59","273035",44274.4832672575,11888.238333514
"60","273040",42544.1260634267,8872.18109564519
"61","273111",46190.2429794211,2755.22767986241
"62","273222",45206.5834961831,4357.08019381727
"63","273964",42136.6257810942,3923.49993912117
"64","274178",47999.3864919017,2227.60805591832
"65","274579",44166.9108391984,3491.86606167908
"66","274850",45939.6225468478,756.277162244025
"67","275083",43927.1105296719,9993.80252370549
"68","275192",42666.4606606272,40.8342957440199
"69","275251",44356.9831325503,3200.48223916515
"70","275927",44711.9861517806,2227.84780161858
"71","276138",46200.1389754717,3746.30424915307
"72","276349",44763.7650517257,2463.505573567
"73","276477",43963.3165221089,1385.0472886249
"74","28173",42409.3697960832,7059.13663308882
"75","33420",45142.2674300309,3358.39571463908
"76","33597",46254.8140271271,10738.1540389518
"77","403109",42729.9353187781,5769.2827233016
"78","403117",42889.5592333132,10100.003376721
"79","403120",44089.1988045561,9569.53945549418
"80","403128",45025.1901429381,639.845063317249
"81","403141",47306.9268780604,4175.6378756373
"82","403144",47338.404138998,503.498595526187
"83","403145",46011.1685868811,8235.27569086784
"84","403146",42880.5882994415,6687.6855715983
"85","403148",43323.7354209507,5594.21071697859
"86","403151",46765.4244473456,2172.15005169515
"87","403159",42929.1662750363,310.538788116379
